		Earners	Median age of earners	Sum	Median	Mean	P80/P20	P80/P50	P20/P50	P10/P50	Gini coefficient	Top 1%	Top 5%	Top 10%	Lowest Quartile	Second Quartile	Third Quartile	Highest Quartile
LGA	LGA NAME	(persons)	years	$	$	$	ratio	ratio	ratio	ratio	coef.	%	%	%	%	%	%	%
Australia 		 16,535,703	  41 	 1,193,660,182,320	 55,062	 72,187	6.23 	1.94 	0.31 	0.10 	0.505 	10.3 	23.4 	34.7 	25.0 	25.0 	25.0 	25.0 
New South Wales		 5,142,655	  41 	 388,326,886,785	 55,105	 75,511	6.54 	1.99 	0.30 	0.10 	0.525 	11.9 	25.6 	36.8 	25.5 	24.5 	24.0 	26.0 
10050	Albury	 35,682	  42 	 2,232,705,109	 53,167	 62,572	5.40 	1.76 	0.33 	0.11 	0.458 	7.9 	19.9 	30.5 	24.7 	27.1 	28.9 	19.3 
10180	Armidale Regional	 17,578	  42 	 1,040,287,411	 48,202	 59,181	7.39 	1.95 	0.26 	0.09 	0.507 	7.9 	21.0 	32.6 	29.9 	26.6 	24.1 	19.4 
10250	Ballina	 29,978	  47 	 1,780,195,870	 45,295	 59,383	7.23 	2.00 	0.28 	0.09 	0.516 	9.4 	23.0 	34.6 	30.0 	28.7 	22.9 	18.3 
10300	Balranald	 1,580	  42 	 81,500,972	 45,666	 51,583	6.38 	1.76 	0.28 	0.10 	0.522 	7.5 	20.7 	32.1 	33.0 	26.1 	27.6 	13.2 
10470	Bathurst Regional	 27,005	  42 	 1,714,348,779	 54,575	 63,483	6.15 	1.83 	0.30 	0.09 	0.459 	6.4 	18.0 	28.9 	25.3 	25.1 	27.0 	22.6 
10500	Bayside	 117,716	  37 	 8,072,881,979	 55,324	 68,579	5.78 	1.91 	0.33 	0.12 	0.472 	7.0 	19.6 	31.0 	24.4 	25.4 	25.4 	24.8 
10550	Bega Valley	 22,614	  50 	 1,181,037,920	 42,239	 52,226	7.85 	1.95 	0.25 	0.07 	0.505 	7.4 	20.5 	32.2 	32.6 	29.1 	23.5 	14.8 
10600	Bellingen	 8,044	  50 	 408,983,723	 40,101	 50,843	9.26 	2.05 	0.22 	0.06 	0.522 	7.1 	20.6 	32.7 	34.4 	28.9 	21.6 	15.1 
10650	Berrigan	 5,323	  49 	 284,131,589	 43,749	 53,378	7.39 	1.93 	0.26 	0.07 	0.524 	7.6 	20.8 	32.4 	31.1 	29.0 	23.9 	16.0 
10750	Blacktown	 243,867	  39 	 16,302,242,728	 58,554	 66,849	5.19 	1.78 	0.34 	0.13 	0.433 	5.1 	16.5 	27.5 	22.6 	24.5 	28.5 	24.4 
10800	Bland	 3,560	  44 	 229,589,399	 49,218	 64,491	6.72 	2.07 	0.31 	0.09 	0.522 	8.4 	21.8 	33.6 	26.6 	28.4 	22.0 	23.0 
10850	Blayney	 4,686	  46 	 309,576,459	 54,847	 66,064	6.64 	1.90 	0.29 	0.08 	0.501 	8.9 	20.8 	31.8 	25.8 	24.5 	26.1 	23.6 
10900	Blue Mountains	 49,846	  47 	 3,448,344,988	 54,847	 69,180	7.75 	2.01 	0.26 	0.08 	0.491 	7.2 	19.8 	31.3 	27.3 	22.8 	22.3 	27.5 
10950	Bogan	 1,686	  45 	 113,755,278	 53,682	 67,471	5.78 	1.91 	0.33 	0.09 	0.556 	10.2 	24.3 	35.7 	24.7 	26.6 	24.9 	23.7 
11150	Bourke	 1,497	  41 	 96,937,755	 56,107	 64,755	6.63 	1.81 	0.27 	0.06 	0.493 	6.7 	19.3 	30.6 	25.6 	23.2 	27.8 	23.4 
11200	Brewarrina	  732 	  41 	 43,162,062	 50,975	 58,965	8.11 	1.79 	0.22 	0.07 	0.489 	7.5 	19.5 	31.1 	29.3 	25.1 	27.0 	18.6 
11250	Broken Hill	 9,598	  43 	 605,469,082	 53,981	 63,083	7.08 	1.92 	0.27 	0.09 	0.459 	5.2 	16.5 	27.8 	26.4 	24.4 	25.4 	23.8 
11300	Burwood	 27,968	  35 	 1,795,305,987	 45,560	 64,191	7.06 	2.14 	0.30 	0.10 	0.527 	9.7 	23.9 	36.0 	30.0 	27.4 	21.7 	20.9 
11350	Byron	 26,189	  43 	 1,621,631,898	 37,678	 61,920	7.75 	2.20 	0.28 	0.09 	0.598 	17.8 	32.9 	44.5 	34.5 	30.8 	18.6 	16.1 
11400	Cabonne	 8,710	  46 	 576,502,442	 51,584	 66,189	7.02 	1.95 	0.28 	0.07 	0.539 	10.8 	24.1 	35.4 	27.3 	25.7 	24.4 	22.5 
11450	Camden	 76,271	  38 	 5,514,776,850	 63,076	 72,305	4.68 	1.74 	0.37 	0.15 	0.427 	6.0 	17.2 	27.7 	20.0 	23.8 	28.1 	28.1 
11500	Campbelltown	 103,882	  39 	 6,240,086,523	 53,901	 60,069	5.30 	1.74 	0.33 	0.11 	0.428 	4.9 	16.1 	26.8 	24.6 	26.4 	29.4 	19.5 
11520	Canada Bay	 62,331	  42 	 5,889,127,337	 66,289	 94,482	7.10 	2.09 	0.29 	0.10 	0.537 	11.2 	25.9 	37.6 	23.0 	20.4 	21.4 	35.2 
11570	Canterbury-Bankstown	 208,679	  39 	 12,149,459,474	 45,563	 58,221	6.50 	2.01 	0.31 	0.11 	0.486 	6.9 	19.7 	31.4 	29.5 	28.0 	23.5 	18.9 
11600	Carrathool	 1,889	  41 	 114,613,326	 50,724	 60,674	5.04 	1.75 	0.35 	0.13 	0.514 	6.8 	22.7 	34.0 	26.0 	28.0 	28.8 	17.2 
11650	Central Coast	 210,384	  43 	 13,531,250,793	 50,650	 64,317	6.46 	1.94 	0.30 	0.10 	0.491 	8.8 	21.5 	32.7 	26.9 	26.7 	24.9 	21.5 
11700	Central Darling	  849 	  45 	 57,055,428	 46,913	 67,203	10.55 	2.03 	0.19 	0.03 	0.613 	10.2 	29.6 	42.3 	34.6 	22.4 	22.8 	20.2 
11720	Cessnock	 36,244	  40 	 2,249,262,604	 51,927	 62,059	5.84 	1.88 	0.32 	0.10 	0.460 	6.0 	17.6 	29.2 	25.5 	27.3 	25.9 	21.3 
11730	Clarence Valley	 29,494	  47 	 1,478,495,099	 41,506	 50,129	7.92 	1.94 	0.25 	0.07 	0.502 	6.9 	19.5 	31.3 	32.9 	30.1 	22.9 	14.1 
11750	Cobar	 2,542	  40 	 187,310,355	 60,017	 73,686	6.21 	2.02 	0.33 	0.10 	0.475 	6.4 	18.1 	29.0 	22.9 	23.3 	22.2 	31.6 
11800	Coffs Harbour	 49,344	  44 	 2,772,006,625	 45,298	 56,177	6.64 	1.91 	0.29 	0.09 	0.493 	8.1 	20.9 	32.3 	29.8 	29.6 	24.1 	16.5 
12000	Coolamon	 2,765	  46 	 174,483,190	 50,697	 63,104	6.97 	1.98 	0.28 	0.08 	0.491 	6.0 	19.5 	31.4 	27.2 	25.7 	25.3 	21.9 
12150	Coonamble	 2,179	  43 	 149,044,713	 47,340	 68,401	8.98 	2.06 	0.23 	0.04 	0.642 	12.4 	31.5 	43.8 	30.8 	24.8 	23.3 	21.2 
12160	Cootamundra-Gundagai Regional	 6,617	  46 	 395,937,149	 47,499	 59,836	7.36 	1.89 	0.26 	0.07 	0.512 	8.5 	22.6 	34.3 	29.2 	27.8 	24.9 	18.1 
12350	Cowra	 7,386	  45 	 385,392,662	 44,298	 52,179	7.76 	1.85 	0.24 	0.06 	0.543 	9.2 	22.2 	33.7 	31.0 	29.7 	24.9 	14.4 
12380	Cumberland	 138,512	  36 	 7,837,622,052	 45,704	 56,584	5.98 	1.96 	0.33 	0.12 	0.469 	5.8 	18.3 	30.0 	28.6 	29.3 	24.2 	17.9 
12390	Dubbo Regional	 33,731	  40 	 2,143,815,654	 55,319	 63,556	5.54 	1.77 	0.32 	0.10 	0.458 	7.0 	18.5 	29.2 	24.3 	25.4 	28.5 	21.8 
12700	Dungog	 5,989	  47 	 370,313,496	 47,791	 61,832	6.94 	2.02 	0.29 	0.08 	0.522 	10.5 	22.6 	34.1 	28.3 	27.5 	23.2 	20.9 
12730	Edward River	 5,641	  46 	 305,871,709	 46,717	 54,223	7.34 	1.89 	0.26 	0.07 	0.553 	8.1 	21.5 	33.0 	30.5 	27.4 	25.2 	17.0 
12750	Eurobodalla	 23,994	  51 	 1,207,271,542	 39,937	 50,316	8.05 	1.95 	0.24 	0.07 	0.515 	8.4 	21.8 	33.6 	33.7 	30.6 	22.6 	13.1 
12850	Fairfield	 104,773	  40 	 5,474,754,450	 43,389	 52,253	6.50 	1.90 	0.29 	0.11 	0.470 	6.3 	18.5 	29.9 	31.5 	28.9 	25.2 	14.4 
12870	Federation	 8,213	  48 	 461,184,693	 47,657	 56,153	6.40 	1.80 	0.28 	0.09 	0.483 	7.0 	19.8 	30.8 	28.6 	28.0 	27.4 	16.0 
12900	Forbes	 5,686	  44 	 345,592,766	 51,775	 60,780	6.10 	1.82 	0.30 	0.08 	0.514 	7.1 	20.5 	32.2 	26.4 	26.5 	27.4 	19.7 
12930	Georges River	 102,746	  41 	 7,155,651,601	 52,451	 69,644	6.57 	2.02 	0.31 	0.11 	0.505 	8.9 	22.5 	34.2 	26.5 	25.5 	23.7 	24.3 
12950	Gilgandra	 2,453	  47 	 136,555,826	 46,605	 55,669	7.82 	1.90 	0.24 	0.06 	0.557 	8.7 	22.4 	34.3 	30.8 	26.5 	25.2 	17.4 
13010	Glen Innes Severn	 4,794	  48 	 224,660,337	 37,405	 46,863	10.14 	2.03 	0.20 	0.05 	0.553 	7.7 	21.7 	34.2 	36.4 	29.5 	21.3 	12.9 
13310	Goulburn Mulwaree	 19,125	  43 	 1,201,475,654	 53,360	 62,822	5.88 	1.84 	0.31 	0.09 	0.463 	6.9 	18.5 	29.3 	25.0 	26.4 	26.7 	21.9 
13340	Greater Hume Shire	 6,934	  47 	 439,565,672	 51,371	 63,393	5.47 	1.81 	0.33 	0.09 	0.497 	8.9 	22.6 	33.6 	25.1 	28.1 	27.5 	19.3 
13450	Griffith	 19,406	  40 	 1,146,682,359	 53,067	 59,089	4.64 	1.66 	0.36 	0.14 	0.438 	6.7 	18.1 	28.5 	23.8 	28.3 	31.6 	16.4 
13550	Gunnedah	 7,810	  41 	 532,623,790	 54,676	 68,198	6.84 	2.03 	0.30 	0.09 	0.513 	7.7 	20.3 	31.9 	25.6 	24.7 	23.9 	25.7 
13660	Gwydir	 2,759	  48 	 144,685,802	 41,787	 52,441	10.02 	1.97 	0.20 	0.04 	0.681 	11.3 	28.6 	41.4 	34.3 	27.1 	23.0 	15.6 
13800	Hawkesbury	 44,072	  42 	 2,977,230,455	 56,040	 67,554	5.37 	1.83 	0.34 	0.12 	0.462 	7.4 	19.6 	30.4 	23.4 	25.9 	26.9 	23.9 
13850	Hay	 1,868	  46 	 105,986,126	 49,148	 56,738	6.35 	1.85 	0.29 	0.11 	0.513 	6.3 	19.2 	31.0 	28.1 	27.4 	25.9 	18.6 
13910	Hilltops	 11,351	  45 	 652,430,080	 47,023	 57,478	6.66 	1.88 	0.28 	0.08 	0.516 	8.2 	21.7 	33.3 	28.9 	29.0 	24.6 	17.5 
14000	Hornsby	 103,307	  45 	 8,792,484,657	 62,471	 85,110	8.01 	2.12 	0.26 	0.08 	0.519 	9.0 	22.8 	34.6 	25.2 	20.5 	20.6 	33.7 
14100	Hunters Hill	 9,328	  49 	 1,521,463,801	 78,131	 163,107	9.81 	2.48 	0.25 	0.07 	0.668 	21.9 	41.1 	53.2 	22.5 	17.3 	16.4 	43.9 
14170	Inner West	 130,825	  40 	 13,123,210,831	 72,551	 100,311	6.20 	1.98 	0.32 	0.12 	0.517 	10.5 	25.2 	36.7 	20.2 	19.4 	22.1 	38.3 
14220	Inverell	 9,805	  44 	 509,083,084	 45,536	 51,921	6.60 	1.74 	0.26 	0.07 	0.508 	8.4 	20.9 	32.2 	30.7 	29.1 	26.7 	13.5 
14300	Junee	 3,532	  43 	 221,820,246	 52,776	 62,803	5.07 	1.83 	0.36 	0.10 	0.463 	6.2 	18.5 	29.9 	23.3 	29.4 	26.8 	20.5 
14350	Kempsey	 15,841	  47 	 754,453,107	 40,497	 47,627	7.80 	1.91 	0.24 	0.06 	0.502 	6.3 	18.7 	30.6 	33.5 	30.7 	23.1 	12.6 
14400	Kiama	 14,927	  48 	 1,083,947,525	 51,149	 72,617	8.79 	2.21 	0.25 	0.08 	0.539 	10.8 	24.4 	36.1 	29.1 	23.5 	20.3 	27.1 
14500	Ku-ring-gai	 87,950	  47 	 10,585,616,097	 66,995	 120,359	10.47 	2.50 	0.24 	0.07 	0.618 	15.6 	33.5 	46.0 	25.8 	18.7 	16.7 	38.8 
14550	Kyogle	 5,194	  50 	 227,323,913	 35,794	 43,767	9.74 	2.01 	0.21 	0.05 	0.549 	7.0 	20.6 	33.2 	37.9 	29.6 	21.7 	10.7 
14600	Lachlan	 3,672	  43 	 227,483,262	 49,883	 61,951	6.82 	1.93 	0.28 	0.07 	0.545 	8.3 	22.4 	34.4 	27.8 	26.4 	24.9 	20.9 
14650	Lake Macquarie	 131,513	  43 	 8,809,457,644	 54,253	 66,985	6.39 	1.91 	0.30 	0.09 	0.476 	7.9 	20.1 	31.2 	25.6 	25.1 	25.4 	24.0 
14700	Lane Cove	 29,037	  42 	 3,688,639,460	 81,960	 127,032	6.86 	2.07 	0.30 	0.11 	0.566 	14.1 	30.8 	42.5 	19.3 	17.0 	19.8 	43.9 
14750	Leeton	 7,081	  42 	 390,169,258	 50,375	 55,101	5.72 	1.72 	0.30 	0.10 	0.483 	6.2 	18.0 	28.9 	26.5 	28.3 	29.2 	16.0 
